k,Player,Tm,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed,-9999
143,Mitchell Robinson,NYK,$12954546,,,,,,$12954546,robinmi01
144,Coby White,CHI,$12888889,,,,,,$12888889,whiteco01
145,Dorian Finney-Smith,HOU,$12700000,$13335000,$13335000,$13335000,,,$39370000,finnedo01
146,Brandon Clarke,MEM,$12500000,$12500000,,,,,$25000000,clarkbr01
147,Dylan Harper,SAS,$12370320,$12989040,$13607760,$17172994,,,$25359360,harpedy01
148,Isaiah Joe,OKC,$12362338,$11323006,$11323006,,,,$23685344,joeis01
149,Jabari Smith Jr.,HOU,$12350392,$23643411,$21751940,$23643411,$25534883,,$106924037,smithja05
150,Donte DiVincenzo,MIN,$11990000,$12535000,,,,,$24525000,divindo01
151,Brandon Miller,CHO,$11968800,$15104626,,,,,$27073426,millebr02
152,Alex Sarr,WAS,$11808240,$12370680,$15611798,,,,$24178920,sarral01
153,Davion Mitchell,MIA,$11600000,$12400000,,,,,$24000000,mitchda01
154,Moses Moody,GSW,$11574075,$12500000,$13425925,,,,$37500000,moodymo01
155,Jarred Vanderbilt,LAL,$11571429,$12428571,$13285714,,,,$24000000,vandeja01
156,Matisse Thybulle,POR,$11550000,,,,,,$11550000,thybuma01
157,Gabe Vincent,LAL,$11500000,,,,,,$11500000,vincega01
158,Keegan Murray,SAC,$11144093,,,,,,$11144093,murrake02
159,VJ Edgecombe,PHI,$11108880,$11663880,$12219720,$15445727,,,$22772760,edgecvj01
160,Luke Kornet,SAS,$11000000,$10450000,$9900000,$9350000,,,$24000000,kornelu01
161,Isaac Okoro,CHI,$11000000,$11814814,,,,,$22814814,okorois01
162,Aaron Nesmith,IND,$11000000,$11000000,,,,,$22000000,nesmiaa01
163,Maxi Kleber,LAL,$11000000,,,,,,$11000000,klebima01
164,Luke Kennard,ATL,$11000000,,,,,,$11000000,kennalu01
165,Wendell Carter Jr.,ORL,$10850000,$18102000,$19550160,$20998320,,,$48502160,cartewe01
166,Mike Conley,MIN,$10774038,,,,,,$10774038,conlemi01
167,Scoot Henderson,POR,$10748040,$13585523,,,,,$24333563,hendesc01
168,Reed Sheppard,HOU,$10603560,$11108880,$14041625,,,,$21712440,sheppre01
169,Jonas Valančiūnas,DEN,$10395000,$10000000,,,,,$10395000,valanjo01
170,T.J. McConnell,IND,$10200000,$11000000,$11800000,$11800000,,,$33000000,mccontj01
171,Royce O'Neale,PHO,$10125000,$10875000,$11625000,,,,$32625000,onealro01
172,Jaden Ivey,DET,$10107163,,,,,,$10107163,iveyja01
173,Aaron Wiggins,OKC,$10102803,$9224300,$8345797,$8345797,,,$27672900,wiggiaa01
174,Sam Hauser,BOS,$10044644,$10848215,$11651785,$12455356,,,$45000000,hausesa01
175,Kon Knueppel,CHO,$10015680,$10516560,$11017560,$13937214,,,$20532240,knuepko01
176,Derrick Jones Jr.,LAC,$10000000,$10476190,,,,,$20476190,jonesde02
177,Lonzo Ball,CLE,$10000000,$10000000,,,,,$10000000,balllo01
178,Duncan Robinson,MIA,$26722692,$15992957,$15151222,,,,$9888000,robindu01
179,Amen Thompson,HOU,$9690600,$12258609,,,,,$21949209,thompam01
180,Caleb Martin,DAL,$9594044,$10001493,$9371351,,,,$19595537,martica02
181,Stephon Castle,SAS,$9560520,$10015920,$12670139,,,,$19576440,castlst01
182,Pat Connaughton,CHO,$9423869,,,,,,$9423869,connapa01
183,Buddy Hield,GSW,$9219512,$9658536,$10097560,,,,$18878048,hieldbu01
184,Kyle Anderson,UTA,$9219512,$9658536,,,,,$9219512,anderky01
185,Bennedict Mathurin,IND,$9187573,,,,,,$9187573,mathube01
186,Ace Bailey,UTA,$9069840,$9523080,$9976560,$12640302,,,$18592920,baileac01
187,Naji Marshall,DAL,$9000000,$9428571,,,,,$18428571,marshna01
188,Jalen Smith,CHI,$9000000,$9428571,,,,,$18428571,smithja04
189,Ty Jerome,MEM,$8781000,$9220050,$9659100,,,,$18001050,jeromty01
190,Ausar Thompson,DET,$8775000,$11117925,,,,,$19892925,thompau01
191,Brook Lopez,LAC,$8750000,$9187500,,,,,$8750000,lopezbr01
192,Quentin Grimes,PHI,$8741209,,,,,,$8741209,grimequ01
193,Ron Holland,DET,$8657280,$9069600,$11491183,,,,$17726880,hollaro01
194,Sam Merrill,CLE,$8482144,$9160715,$9839285,$10517856,,,$38000000,merrisa01
195,Jaylin Williams,OKC,$8450704,$7774648,$7774648,,,,$16225352,willija07
196,Shaedon Sharpe,POR,$8399983,,,,,,$8399983,sharpsh01
197,Kelly Oubre Jr.,PHI,$8382150,,,,,,$8382150,oubreke01
198,Goga Bitadze,ORL,$8333333,$7608696,,,,,$15942029,bitadgo01
199,Simone Fontecchio,MIA,$8307692,,,,,,$8307692,fontesi01
200,Tre Johnson,WAS,$8237640,$8649600,$9061680,$11490211,,,$16887240,johnstr03
201,Georges Niang,UTA,$8200000,,,,,,$8200000,niangge01
202,Zeke Nnaji,DEN,$8177778,$7466667,$7466667,,,,$15644445,nnajize01
203,Vasilije Micić,MIL,$8109150,,,,,,$8109150,micicva01
204,Deandre Ayton,LAL,$43654814,$8104000,,,,,$8104000,aytonde01
205,Tre Mann,CHO,$8000000,$8000000,$8000000,,,,$16000000,manntr01
206,Tre Jones,CHI,$8000000,$8000000,$8000000,,,,$16000000,jonestr01
207,Kevon Looney,NOP,$8000000,$8000000,,,,,$8000000,looneke01
208,Jock Landale,HOU,$10296274,,,,,,$8000000,landajo01
209,Anthony Black,ORL,$7970280,$10106316,,,,,$18076596,blackan01
210,Tidjane Salaün,CHO,$7863240,$8237880,$10445633,,,,$16101120,salauti01
211,Max Christie,DAL,$7714286,$8285714,$8857143,,,,$16000000,chrisma02
212,Dyson Daniels,ATL,$7707709,,,,,,$7707709,daniedy01
213,Isaiah Jackson,IND,$7600000,$7000000,$6400000,,,,$21000000,jacksis01
214,Jeremiah Fears,NOP,$7520040,$7896240,$8271960,$10505389,,,$15416280,fearsje01
215,Ayo Dosunmu,CHI,$7518518,,,,,,$7518518,dosunay01
216,Bilal Coulibaly,WAS,$7275600,$9240012,,,,,$16515612,coulibi01
217,Payton Pritchard,BOS,$7232143,$7767857,$8303571,,,,$23303571,pritcpa01
218,Donovan Clingan,POR,$7178400,$7519920,$9550298,,,,$14698320,clingdo01
219,Kenrich Williams,OKC,$7163000,$7163000,,,,,$7163000,willike04
220,Jeremy Sochan,SAS,$7096231,,,,,,$7096231,sochaje01
221,Tyus Jones,ORL,$7000000,,,,,,$7000000,jonesty01
222,Egor Demin,BRK,$6889200,$7233720,$7578240,$9639522,,,$14122920,demineg01
223,Jevon Carter,CHI,$6809524,,,,,,$6809524,carteje01
224,Clint Capela,HOU,$6700000,$7035000,$7370000,,,,$21105000,capelca01
225,Ousmane Dieng,OKC,$6670882,,,,,,$6670882,diengou01
226,Jarace Walker,IND,$6665520,$8478542,,,,,$15144062,walkeja02
227,Dean Wade,CLE,$6623456,,,,,,,wadede01
228,Jalen Williams,OKC,$6580997,$41500000,$44820000,$48140000,$51460000,,$192500997,willija06
229,Rob Dillingham,MIN,$6576120,$6889320,$8763216,,,,$13465440,dilliro01
230,Jalen Duren,DET,$6483144,,,,,,$6483144,durenja01
231,Ochai Agbaji,TOR,$6383525,,,,,,$6383525,agbajoc01
232,Collin Murray-Boyles,TOR,$6332520,$6649560,$6966000,$8874684,,,$12982080,murraco01
233,Mark Williams,PHO,$6276531,,,,,,$6276531,willima07
234,Day'Ron Sharpe,BRK,$6250000,$6250000,,,,,$6250000,sharpda01
235,Ziaire Williams,BRK,$6250000,$6250000,,,,,$6250000,willizi02
236,John Konchar,MEM,$6165000,$6165000,,,,,$12330000,konchjo01
237,Taylor Hendricks,UTA,$6127080,$7805900,,,,,$13932980,hendrta01
238,Saddiq Bey,NOP,$6118644,$6440678,,,,,$12559322,beysa01
239,Zach Edey,MEM,$6045000,$6332760,$8067937,,,,$12377760,edeyza01
240,Khaman Maluach,PHO,$6016080,$6316680,$6617160,$8436880,,,$12332760,maluakh01
241,Jake LaRavia,LAL,$6000000,$6000000,,,,,$12000000,laravja01
242,Jaden Hardy,DAL,$6000000,$6000000,$6000000,,,,$12000000,hardyja02
243,Cam Thomas,BRK,$5993172,,,,,,$5993172,thomaca02
244,Cason Wallace,OKC,$5820240,$7420806,,,,,$13241046,wallaca01
245,Cody Williams,UTA,$5742480,$6015600,$7669890,,,,$11758080,willico04
246,Cedric Coward,MEM,$5715120,$6001080,$6286920,$8342743,,,$11716200,cowarce01
247,Al Horford,GSW,$5685000,$5969250,,,,,$5685000,horfoal01
248,D'Angelo Russell,DAL,$5685000,$5969250,,,,,$5685000,russeda01
249,Tari Eason,HOU,$5675766,,,,,,$5675766,easonta01
250,Haywood Highsmith,BRK,$5616000,,,,,,$5616000,highsha01
251,Nicolas Batum,LAC,$5601600,$5881680,,,,,$5601600,batumni01
252,Jett Howard,ORL,$5529720,$7337939,,,,,$5529720,howarje01
253,Guerschon Yabusele,NYK,$5500000,$5775000,,,,,$5500000,yabusgu01
254,Matas Buzelis,CHI,$5455560,$5715360,$7584283,,,,$11170920,buzelma01
255,Noa Essengue,CHI,$5429520,$5701200,$5972760,$8230464,,,$11130720,essenno01
256,Dario Šarić,SAC,$5426400,,,,,,$5426400,saricda01
257,Kris Dunn,LAC,$5426400,$5684800,,,,,$5426400,dunnkr01
258,Dalen Terry,CHI,$5399118,,,,,,$5399118,terryda01
259,Bradley Beal,LAC,$59020270,$5621700,,,,,$5354000,bealbr01
260,Paul Reed,DET,$5335894,$5602689,,,,,$5335894,reedpa01
261,Dereck Lively II,DAL,$5253360,$7239131,,,,,$12492491,livelde01
262,Nikola Topić,OKC,$5182920,$5429760,$7482210,,,,$10612680,topicni01
263,Derik Queen,NOP,$5157960,$5416080,$5673840,$8107918,,,$10574040,queende01
264,Kevin Porter Jr.,MIL,$5134000,$5390700,,,,,$5134000,porteke02
265,Marcus Smart,LAL,$26720855,$5390700,,,,,$5134000,smartma01
266,Andre Drummond,PHI,$5000000,,,,,,$5000000,drumman01
267,Moritz Wagner,ORL,$5000000,,,,,,$5000000,wagnemo01
268,Nick Richards,PHO,$5000000,,,,,,,richani01
269,Gradey Dick,TOR,$4990560,$7131511,,,,,$12122071,dickgr01
270,Malaki Branham,WAS,$4962033,,,,,,$4962033,branhma01
271,Devin Carter,SAC,$4923720,$5158080,$7370897,,,,$10081800,cartede02
272,Christian Braun,DEN,$4921797,,,,,,$4921797,braunch01
273,Carter Bryant,SAS,$4900320,$5145360,$5390640,$7983539,,,$10045680,bryanca01
274,Walker Kessler,UTA,$4878938,,,,,,$4878938,kesslwa01
275,Jordan Hawkins,NOP,$4741320,$7021895,,,,,$11763215,hawkijo01
276,Blake Wesley,WAS,$7022602,,,,,,$4726328,weslebl01
277,Bub Carrington,WAS,$4677600,$4900560,$7257730,,,,$9578160,carrica01
278,Thomas Sorber,OKC,$4655040,$4887720,$5120400,$7849573,,,$9542760,sorbeth01
279,Kobe Bufkin,BRK,$4503720,,,,,,$4503720,bufkiko01
280,Jose Alvarado,NOP,$4500000,$4500000,,,,,$4500000,alvarjo01
281,Nikola Jović,MIA,$4445417,,,,,,$4445417,jovicni01
282,Kel'el Ware,MIA,$4443360,$4654920,$7135992,,,,$9098280,wareke01
283,Yang Hansen,POR,$4422360,$4643520,$4864920,$7462788,,,$9065880,yangha01
284,Peyton Watson,DEN,$4356476,,,,,,$4356476,watsope01
285,Miles McBride,NYK,$4333333,$3956523,,,,,$8289856,mcbrimi01
286,Keyonte George,UTA,$4278960,$6563925,,,,,$10842885,georgke01
287,Jared McCain,PHI,$4221360,$4422600,$6784268,,,,$8643960,mccaija01
288,Joan Beringer,MIN,$4201080,$4411200,$4621200,$7098163,,,$8612280,berinjo01
289,Kevin Love,UTA,$4150000,,,,,,$4150000,loveke01
290,Dalton Knecht,LAL,$4010160,$4201080,$6452860,,,,$8211240,knechda01
291,Ryan Rollins,MIL,$4000000,$4000000,$4000000,,,,$8000000,rolliry01
292,Dwight Powell,DAL,$4000000,,,,,,$4000000,poweldw01
293,Walter Clayton,UTA,$3991320,$4190520,$4390320,$6752312,,,$8181840,claytwa01
294,Jaime Jaquez Jr.,MIA,$3861600,$5939141,,,,,$9800741,jaqueja01
295,Nolan Traoré,BRK,$3811560,$4002000,$4193040,$6457282,,,$7813560,traorno01
296,Tristan Da Silva,ORL,$3809520,$3991200,$6138466,,,,$7800720,dasiltr01
297,Gary Trent Jr.,MIL,$3697105,$3881960,,,,,$3697105,trentga02
298,Brandin Podziemski,GSW,$3687960,$5679459,,,,,$9367419,podzibr01
299,Svi Mykhailiuk,UTA,$3675000,$3850000,$4025000,,,,,mykhasv01
300,Kasparas Jakucionis,MIA,$3658800,$3841680,$4024440,$6205687,,,$7500480,jakucka01
301,Ja'Kobe Walter,TOR,$3638160,$3811800,$5870172,,,,$7449960,walteja01
302,Gary Harris,MIL,$3634153,$3815861,,,,,$3634153,harriga01
303,Cam Whitmore,WAS,$3539760,$5458310,,,,,$8998070,whitmca01
304,Will Riley,WAS,$3512520,$3688320,$3864000,$6155352,,,$7200840,rileywi01
305,Jaylon Tyson,CLE,$3492480,$3658560,$5641500,,,,$7151040,tysonja01
306,P.J. Tucker,NYK,$3468960,,,,,,,tuckepj01
307,Jaxson Hayes,LAL,$3449323,,,,,,$3449323,hayesja02
308,Noah Clowney,BRK,$3398640,$5414034,,,,,$8812674,clownno01
309,Drake Powell,BRK,$3372240,$3540600,$3709320,$6101832,,,$6912840,poweldr01
310,Yves Missi,NOP,$3353040,$3512760,$5595827,,,,$6865800,missiyv01
311,Taurean Prince,MIL,$3303774,$3815861,,,,,$3303774,princta02
312,Dariq Whitehead,BRK,$3262560,,,,,,$3262560,whiteda01
313,Asa Newell,ATL,$3237480,$3399480,$3560880,$6042814,,,$6636960,newelas01
314,DaRon Holmes,DEN,$3218760,$3372120,$5547138,,,,$6590880,holmeda01
315,Kris Murray,POR,$3132000,$5315004,,,,,$8447004,murrakr01
316,Nique Clifford,SAC,$3108120,$3263400,$3418800,$5979481,,,$6371520,cliffni01
317,Nassir Little,PHO,$3107143,$3107143,$3107143,$3107143,,,$12428572,littlna01
